date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:25	25628/25628	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202026%2017:05:32%20GMT	https://lmpixels.com/demo/leven-html-new/light/index.html	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/index.html	(from )
14:43:26	214/214	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2008:58:25%20GMT	https://lmpixels.com/robots.txt		(from )
14:43:27	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225e8c6b7a-47e%22	https://lmpixels.com/demo/leven-html-new/light/favicon.ico	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/favicon.ico	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:27	9347/9347	---MCZ	200	added ('OK')	text/css	etag:W/%225e7b2fd0-2483%22	https://lmpixels.com/demo/leven-html-new/light/css/normalize.css	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/css/normalize.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:28	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225ddfcdf0-26f1b%22	https://lmpixels.com/demo/leven-html-new/light/css/bootstrap.min.css	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/css/bootstrap.min.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:28	4112/4112	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/leven-html-new/light/css/owl.carousel.css	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/css/owl.carousel.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:29	7782/7782	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/leven-html-new/light/css/magnific-popup.css	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/css/magnific-popup.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:29	115811/115811	---MCZ	200	added ('OK')	text/css	etag:W/%225fcba60d-1c463%22	https://lmpixels.com/demo/leven-html-new/light/css/main.css	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/css/main.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:30	9599/9599	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	https://lmpixels.com/demo/leven-html-new/light/js/modernizr.custom.js	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/js/modernizr.custom.js	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:30	25162/25162	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202026%2017:05:42%20GMT	https://lmpixels.com/demo/leven-html-new/light/index-2.html	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/index-2.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:30	17081/17081	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202026%2017:07:26%20GMT	https://lmpixels.com/demo/leven-html-new/light/resume.html	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/resume.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:31	15527/15527	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202026%2017:07:16%20GMT	https://lmpixels.com/demo/leven-html-new/light/portfolio.html	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/portfolio.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
14:43:31	15525/15525	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202026%2017:06:41%20GMT	https://lmpixels.com/demo/leven-html-new/light/portfolio-2-columns.html	C:/My%20Web%20Sites/html/lmpixels.com/demo/leven-html-new/light/portfolio-2-columns.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
